Name,Frequency,Gender
Emily,223249,f
Madison,192756,f
Emma,180786,f
Olivia,155608,f
Hannah,155331,f
Abigail,150518,f
Isabella,148996,f
Samantha,133979,f
Elizabeth,132905,f
Ashley,132805,f
Alexis,130448,f
Sarah,123932,f
Sophia,118838,f
Alyssa,114231,f
Grace,110389,f
Ava,104241,f
Taylor,100797,f
Brianna,99523,f
Lauren,97011,f
Chloe,96189,f
Natalie,94853,f
Kayla,94108,f
Jessica,90460,f
Anna,89867,f
Victoria,84701,f
Mia,83276,f
Hailey,81767,f
Sydney,76328,f
Jasmine,75797,f
Julia,70725,f
Morgan,70634,f
Destiny,69496,f
Rachel,68032,f
Ella,67256,f
Kaitlyn,66782,f
Megan,66724,f
Katherine,65198,f
Savannah,64507,f
Jennifer,63401,f
Alexandra,61120,f
Allison,59867,f
Haley,56905,f
Maria,56770,f
Kaylee,56271,f
Lily,55997,f
Makayla,54798,f
Brooke,54575,f
Mackenzie,54454,f
Nicole,54421,f
Addison,51213,f
Stephanie,49865,f
Lillian,49203,f
Andrea,49058,f
Zoe,48595,f
Faith,48551,f
Kimberly,48384,f
Madeline,48195,f
Alexa,47999,f
Katelyn,47722,f
Gabriella,47196,f
Gabrielle,46898,f
Trinity,46728,f
Amanda,46438,f
Kylie,46328,f
Mary,45840,f
Paige,45480,f
Riley,45427,f
Jenna,45204,f
Leah,45197,f
Sara,43876,f
Rebecca,43457,f
Michelle,43433,f
Sofia,43263,f
Vanessa,43126,f
Jordan,43090,f
Angelina,42635,f
Caroline,41749,f
Avery,41604,f
Audrey,41414,f
Evelyn,40626,f
Maya,39894,f
Claire,38936,f
Autumn,38372,f
Jocelyn,38302,f
Ariana,37887,f
Nevaeh,37745,f
Arianna,37686,f
Jada,36950,f
Bailey,36793,f
Brooklyn,36694,f
Aaliyah,36235,f
Amber,36108,f
Isabel,35942,f
Danielle,35525,f
Mariah,35501,f
Melanie,35155,f
Sierra,34420,f
Erin,33306,f
Molly,33197,f
Amelia,33132,f
Isabelle,32781,f
Madelyn,32556,f
Melissa,32524,f
Jacqueline,32071,f
Marissa,31991,f
Shelby,31238,f
Angela,31208,f
Leslie,31009,f
Katie,30289,f
Jade,30204,f
Catherine,29597,f
Diana,29495,f
Aubrey,29445,f
Mya,28691,f
Amy,28683,f
Briana,28660,f
Sophie,28596,f
Gabriela,28484,f
Breanna,27919,f
Gianna,27773,f
Kennedy,27496,f
Gracie,27401,f
Peyton,27395,f
Adriana,27337,f
Christina,27020,f
Courtney,26925,f
Daniela,26598,f
Kathryn,26197,f
Lydia,26185,f
Valeria,26157,f
Layla,26105,f
Alexandria,25847,f
Natalia,25453,f
Angel,25313,f
Laura,24885,f
Charlotte,24165,f
Margaret,23837,f
Cheyenne,23829,f
Mikayla,23682,f
Miranda,23679,f
Naomi,23547,f
Kelsey,23352,f
Payton,23324,f
Ana,23109,f
Alicia,23067,f
Jillian,22762,f
Daisy,22751,f
Mckenzie,22491,f
Ashlyn,22425,f
Caitlin,22272,f
Sabrina,22268,f
Summer,22102,f
Ruby,21919,f
Rylee,21905,f
Valerie,21889,f
Skylar,21821,f
Lindsey,21608,f
Kelly,21584,f
Genesis,21369,f
Zoey,21289,f
Eva,21263,f
Sadie,21210,f
Alexia,21185,f
Cassidy,21139,f
Kylee,21100,f
Kendall,20990,f
Jordyn,20940,f
Kate,20731,f
Jayla,20673,f
Karen,20564,f
Tiffany,20126,f
Cassandra,20083,f
Juliana,20016,f
Reagan,19929,f
Caitlyn,19750,f
Giselle,19682,f
Serenity,19497,f
Alondra,19467,f
Lucy,19322,f
Bianca,18869,f
Kiara,18869,f
Crystal,18850,f
Erica,18812,f
Angelica,18641,f
Hope,18596,f
Chelsea,17979,f
Alana,17873,f
Liliana,17548,f
Brittany,17519,f
Camila,17510,f
Makenzie,17443,f
Veronica,17193,f
Lilly,17173,f
Abby,17171,f
Jazmin,17159,f
