Name,Frequency,Gender
Иванов,105899,m
Кузнецов,72163,m
Попов,59706,m
Смирнов,59499,m
Иванова,52912,f
Васильев,48512,m
Петров,48221,m
Кузнецова,37236,f
Волков,34630,m
Соколов,34445,m
Козлов,34437,m
Новиков,34319,m
Морозов,34060,m
Павлов,32846,m
Михайлов,32609,m
Федоров,31692,m
Смирнова,31013,f
Степанов,30660,m
Семенов,30015,m
Макаров,30008,m
Егоров,29826,m
Алексеев,28856,m
Андреев,28818,m
Попова,28788,f
Захаров,28031,m
Николаев,26577,m
Васильева,26242,f
Зайцев,26211,m
Яковлев,26011,m
Романов,25725,m
Никитин,25411,m
Лебедев,25200,m
Петрова,24465,f
Сергеев,24332,m
Борисов,24184,m
Орлов,23047,m
Григорьев,22777,m
Соловьев,22518,m
Киселев,21982,m
Кузьмин,21667,m
Тарасов,21592,m
Воробьев,21380,m
Фролов,21237,m
Медведев,21105,m
Шевченко,20591,u
Сорокин,20240,m
Жуков,20024,m
Ковалев,19841,m
Бондаренко,19407,u
Баранов,19263,m
Поляков,19247,m
Филиппов,19124,m
Белов,19083,m
Дмитриев,18953,m
Мельников,18906,m
Гусев,18898,m
Соколова,18782,f
Максимов,18669,m
Ким,18401,u
Волкова,18333,f
Александров,18169,m
Новикова,18164,f
Антонов,18018,m
Павлова,17985,f
Морозова,17793,f
Ильин,17789,m
Сидоров,17650,m
Михайлова,17559,f
Матвеев,17507,m
Коваленко,17151,u
Богданов,16971,m
Куликов,16833,m
Данилов,16631,m
Калинин,16573,m
Федорова,16394,f
Осипов,16281,m
Пономарев,16060,m
Макарова,16004,f
Назаров,15962,m
Власов,15917,m
Андреева,15784,f
Гаврилов,15465,m
Колесников,15422,m
Тимофеев,15355,m
Семенова,15349,f
Миронов,15338,m
Беляев,15295,m
Захарова,15286,f
Алексеева,15283,f
Алиев,15270,m
Давыдов,15193,m
Козлова,15177,f
Романова,15140,f
Афанасьев,15101,m
Степанова,15098,f
Кравченко,15077,u
Егорова,15075,f
Абрамов,15002,m
Денисов,14958,m
Королев,14879,m
Журавлев,14804,m
Гончаров,14710,m
Николаева,14640,f
Комаров,14557,m
Казаков,14516,m
Карпов,14385,m
Титов,14370,m
Ткаченко,14353,u
Чернов,14341,m
Виноградов,14131,m
Магомедов,14095,m
Никитина,14049,f
Коновалов,13877,m
Щербаков,13828,m
Исаев,13759,m
Сергеева,13482,f
Фомин,13465,m
Федотов,13420,m
Лебедева,13410,f
Ефимов,13401,m
Яковлева,13336,f
Герасимов,13294,m
Орлова,13044,f
Ермаков,12949,m
Быков,12898,m
Зайцева,12894,f
Тихонов,12862,m
Марков,12823,m
Горбунов,12821,m
Григорьева,12706,f
Овчинников,12221,m
Соловьева,12167,f
Потапов,12138,m
Борисова,12133,f
Ефремов,12109,m
Кузьмина,11834,f
Крылов,11769,m
Фролова,11527,f
Мартынов,11431,m
Трофимов,11305,m
Мальцев,11232,m
Голубев,11228,m
Малышев,11083,m
Савельев,11054,m
Савченко,11043,u
Анисимов,11026,m
Моисеев,10949,m
Никифоров,10854,m
Маслов,10830,m
Воронин,10815,m
Ибрагимов,10806,m
Мамедов,10798,m
Наумов,10792,m
Ковалева,10780,f
Мельникова,10741,f
Дмитриева,10730,f
Филатов,10611,m
Жукова,10598,f
Тарасова,10591,f
Лазарев,10585,m
Кудрявцев,10537,m
Климов,10468,m
Медведева,10445,f
Киселева,10376,f
Воробьева,10312,f
Кириллов,10283,m
Котов,10262,m
Максимова,10220,f
Марченко,10199,u
Александрова,10191,f
Леонов,10133,m
Логинов,10059,m
Белова,9999,f
Полякова,9994,f
Белоусов,9977,m
Емельянов,9954,m
Антонова,9917,f
